invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late,epsilon
INV-2024-0197,2025-12-31,12,2026-03-31,Net 90,90,USD,V069,Titan Security Corp,"1892 Enterprise Ave, San Francisco, AZ 11645",billing@titan-security.com,DV-7671318,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,25854.99,8.25,2133.04,11672.15,2026-04-08,1,0.5
INV-2024-0144,2021-01-01,1,2021-04-01,Net 90,90,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,4068.17,7.5,305.11,1.0,2021-04-06,1,0.5
INV-2023-0257,2023-09-23,9,2023-12-22,Net 90,90,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,17985.94,8.5,1528.8,76671.04,2023-12-22,0,0.5
INV-2022-0016,2021-01-01,1,2021-04-01,Net 90,90,USD,V052,Pinnacle Tech Corp,"8295 Business Pkwy, New York, TX 94471",billing@pinnacle-tech.com,FS-3357821,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,33237.85,8.0,2659.03,24789.66,2021-04-01,0,0.5
INV-2023-0096,2022-12-02,12,2023-03-02,Net 90,90,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",27,33184.98,7.0,2322.95,159873.91,2023-04-03,1,0.5
INV-2024-0120,2025-12-31,12,2026-03-31,Net 90,90,USD,V092,Pinnacle Capital Co,"7579 Commerce Blvd, Seattle, FL 84478",billing@pinnacle-capital.com,TS-6703394,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",3,38576.55,6.25,2411.03,1.0,2026-03-31,0,0.5
INV-2022-0207,2024-06-07,6,2024-09-05,Net 90,90,USD,V079,Alpha Partners Inc,"6054 Innovation Rd, Miami, WA 66373",billing@alpha-partners.com,YO-4185714,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,6508.63,8.5,553.23,1.0,2024-10-16,1,0.5
INV-2024-0008,2023-06-10,6,2023-06-11,Net 1,1,USD,V041,Titan Tech Group,"8572 Tech Park Way, Austin, CA 38732",billing@titan-tech.com,ZS-8757202,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,16449.67,8.0,1315.97,1.0,2023-07-21,1,0.5
INV-2023-0132,2024-11-24,11,2024-11-25,Net 1,1,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",16,29329.92,9.0,2639.69,75498.6,2024-11-25,0,0.5
INV-2023-0038,2023-03-27,3,2023-06-18,Net 83,83,USD,V032,Pacific Logistics Inc,"7549 Trade Center Dr, New York, TX 56540",billing@pacific-logistics.com,AB-8153768,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,6840.74,9.0,615.67,66946.31,2023-07-06,1,0.5
INV-2022-0164,2022-07-20,7,2022-07-28,Net 8,8,USD,V055,Beacon Security Co,"2126 Tech Park Way, Dallas, OH 69383",billing@beacon-security.com,JE-4757974,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,21887.81,8.0,1751.02,127798.98,2022-08-19,1,0.5
INV-2024-0023,2023-07-09,7,2023-07-10,Net 1,1,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,10274.79,8.5,873.36,1.0,2023-07-31,1,0.5
INV-2024-0257,2024-11-07,11,2024-11-08,Net 1,1,USD,V099,Pioneer Works Corp,"1600 Industrial Dr, Los Angeles, GA 29426",billing@pioneer-works.com,RJ-1066150,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,42402.46,6.25,2650.15,1.0,2024-11-08,0,0.5
INV-2024-0065,2025-12-25,12,2026-03-09,Net 74,74,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,37535.5,8.5,3190.52,50054.83,2026-03-09,0,0.5
INV-2022-0028,2023-03-22,3,2023-03-23,Net 1,1,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,13831.9,8.0,1106.55,1.0,2023-04-10,1,0.5
INV-2024-0174,2025-12-31,12,2026-01-01,Net 1,1,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,5047.61,7.0,353.33,86381.39,2026-01-24,1,0.5
INV-2023-0083,2023-09-20,9,2023-12-19,Net 90,90,USD,V088,Sterling Tech Group,"1722 Enterprise Ave, Seattle, OH 71396",billing@sterling-tech.com,YF-8369434,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",9,20964.11,8.25,1729.54,11238.75,2023-12-19,0,0.5
INV-2022-0215,2022-09-29,9,2022-09-30,Net 1,1,USD,V056,Global Works Group,"7141 Innovation Rd, Houston, FL 18512",billing@global-works.com,EI-9112074,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,8002.68,8.5,680.23,1.0,2022-09-30,0,0.5
INV-2022-0162,2025-12-31,12,2026-01-01,Net 1,1,USD,V025,Acme Supplies Group,"7676 Innovation Rd, Dallas, OH 77641",billing@acme-supplies.com,LM-5848287,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,8423.55,7.0,589.65,226782.62,2026-01-01,0,0.5
INV-2024-0014,2022-02-01,2,2022-02-02,Net 1,1,USD,V072,Elite Supplies LLC,"8170 Industrial Dr, Houston, TX 16783",billing@elite-supplies.com,KL-1996530,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,36459.85,6.25,2278.74,55010.61,2022-03-09,1,0.5
INV-2023-0236,2025-12-31,12,2026-01-01,Net 1,1,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,33049.24,6.25,2065.58,417308.79,2026-01-01,0,0.5
INV-2022-0176,2025-09-15,9,2025-10-21,Net 36,36,USD,V046,Titan Freight Co,"3445 Venture Blvd, New York, NY 44674",billing@titan-freight.com,OY-3319049,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",50,18091.54,8.25,1492.55,68350.12,2025-10-21,0,0.5
INV-2023-0005,2021-12-17,12,2022-02-16,Net 61,61,USD,V036,Delta Partners Corp,"4463 Commerce Blvd, New York, IL 34285",billing@delta-partners.com,YQ-6165679,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,38169.04,8.5,3244.37,1.0,2022-02-16,0,0.5
INV-2022-0173,2021-01-01,1,2021-02-11,Net 41,41,USD,V078,Beacon Legal LLC,"1581 Tech Park Way, Houston, TX 91974",billing@beacon-legal.com,RG-8449607,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,38054.48,8.0,3044.36,130391.15,2021-03-14,1,0.5
INV-2024-0149,2021-01-01,1,2021-01-02,Net 1,1,USD,V070,Swift Logistics Inc,"1954 Business Pkwy, Miami, NY 73374",billing@swift-logistics.com,UO-1318408,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",39,49818.55,8.0,3985.48,404610.33,2021-01-06,1,0.5
INV-2024-0145,2025-12-31,12,2026-01-01,Net 1,1,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,7322.23,8.5,622.39,11925.42,2026-01-01,0,0.5
