invoice_number,invoice_date,invoice_month,due_date,net_terms,payment_due_days,currency,vendor_id,vendor_name,vendor_address,vendor_email,tax_id,vendor_category,buyer_company,buyer_address,num_line_items,subtotal,tax_rate,tax_amount,amount_due,payment_received_date,is_late
INV-2024-0197,2024-09-08,9,2024-11-07,Net 60,60,USD,V069,Titan Security Corp,"1892 Enterprise Ave, San Francisco, AZ 11645",billing@titan-security.com,DV-7671318,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,25854.99,8.25,2133.04,27988.03,2024-11-15,1
INV-2024-0144,2024-07-09,7,2024-08-23,Net 45,45,USD,V087,Bright Energy LLC,"5575 Trade Center Dr, New York, CA 49952",billing@bright-energy.com,EY-6888997,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",1,4068.17,7.5,305.11,4373.28,2024-08-28,1
INV-2023-0257,2023-12-23,12,2024-01-07,Net 15,15,USD,V020,Titan Systems LLC,"2639 Commerce Blvd, New York, GA 31677",billing@titan-systems.com,MH-7646705,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,17985.94,8.5,1528.8,19514.74,2024-01-07,0
INV-2022-0016,2022-01-16,1,2022-03-02,Net 45,45,USD,V052,Pinnacle Tech Corp,"8295 Business Pkwy, New York, TX 94471",billing@pinnacle-tech.com,FS-3357821,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,33237.85,8.0,2659.03,35896.88,2022-03-02,0
INV-2023-0096,2023-05-08,5,2023-05-23,Net 15,15,USD,V058,Alpha Parts Inc,"5515 Business Pkwy, Chicago, CO 68596",billing@alpha-parts.com,NC-1873172,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,33184.98,7.0,2322.95,35507.93,2023-06-24,1
INV-2024-0120,2024-06-12,6,2024-06-27,Net 15,15,USD,V092,Pinnacle Capital Co,"7579 Commerce Blvd, Seattle, FL 84478",billing@pinnacle-capital.com,TS-6703394,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,38576.55,6.25,2411.03,40987.58,2024-06-27,0
INV-2022-0207,2022-11-07,11,2022-12-07,Net 30,30,USD,V079,Alpha Partners Inc,"6054 Innovation Rd, Miami, WA 66373",billing@alpha-partners.com,YO-4185714,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",3,6508.63,8.5,553.23,7061.86,2023-01-17,1
INV-2024-0008,2024-01-09,1,2024-01-24,Net 15,15,USD,V041,Titan Tech Group,"8572 Tech Park Way, Austin, CA 38732",billing@titan-tech.com,ZS-8757202,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",18,16449.67,8.0,1315.97,17765.64,2024-03-04,1
INV-2023-0132,2023-06-30,6,2023-07-30,Net 30,30,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",13,29329.92,9.0,2639.69,31969.61,2023-07-30,0
INV-2023-0038,2023-02-18,2,2023-04-19,Net 60,60,USD,V032,Pacific Logistics Inc,"7549 Trade Center Dr, New York, TX 56540",billing@pacific-logistics.com,AB-8153768,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,6840.74,9.0,615.67,7456.41,2023-05-07,1
INV-2022-0164,2022-09-08,9,2022-09-23,Net 15,15,USD,V055,Beacon Security Co,"2126 Tech Park Way, Dallas, OH 69383",billing@beacon-security.com,JE-4757974,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,21887.81,8.0,1751.02,23638.83,2022-10-15,1
INV-2024-0023,2024-01-29,1,2024-03-29,Net 60,60,USD,V030,Delta Solutions Group,"2879 Tech Park Way, New York, CA 66178",billing@delta-solutions.com,EO-6187480,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,10274.79,8.5,873.36,11148.15,2024-04-19,1
INV-2024-0257,2024-11-28,11,2024-12-28,Net 30,30,USD,V099,Pioneer Works Corp,"1600 Industrial Dr, Los Angeles, GA 29426",billing@pioneer-works.com,RJ-1066150,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",7,42402.46,6.25,2650.15,45052.61,2024-12-28,0
INV-2024-0065,2024-03-24,3,2024-04-08,Net 15,15,USD,V021,Swift Ventures LLC,"9509 Enterprise Ave, San Francisco, OH 36962",billing@swift-ventures.com,HP-7243669,Retail,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",8,37535.5,8.5,3190.52,40726.02,2024-04-08,0
INV-2022-0028,2022-01-29,1,2022-03-15,Net 45,45,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",11,13831.9,8.0,1106.55,14938.45,2022-04-02,1
INV-2024-0174,2024-08-15,8,2024-08-30,Net 15,15,USD,V002,Vanguard Supplies Group,"6899 Industrial Dr, Seattle, NY 96672",billing@vanguard-supplies.com,XS-7319707,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",15,5047.61,7.0,353.33,5400.94,2024-09-22,1
INV-2023-0083,2023-04-22,4,2023-06-21,Net 60,60,USD,V088,Sterling Tech Group,"1722 Enterprise Ave, Seattle, OH 71396",billing@sterling-tech.com,YF-8369434,Manufacturing,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",13,20964.11,8.25,1729.54,22693.65,2023-06-21,0
INV-2022-0215,2022-11-14,11,2022-12-29,Net 45,45,USD,V056,Global Works Group,"7141 Innovation Rd, Houston, FL 18512",billing@global-works.com,EI-9112074,Services,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",19,8002.68,8.5,680.23,8682.91,2022-12-29,0
INV-2022-0162,2022-09-02,9,2022-11-01,Net 60,60,USD,V025,Acme Supplies Group,"7676 Innovation Rd, Dallas, OH 77641",billing@acme-supplies.com,LM-5848287,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",5,8423.55,7.0,589.65,9013.2,2022-11-01,0
INV-2024-0014,2024-01-18,1,2024-02-02,Net 15,15,USD,V072,Elite Supplies LLC,"8170 Industrial Dr, Houston, TX 16783",billing@elite-supplies.com,KL-1996530,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",12,36459.85,6.25,2278.74,38738.59,2024-03-08,1
INV-2023-0236,2023-11-28,11,2024-01-27,Net 60,60,USD,V096,Sterling Security Corp,"5995 Enterprise Ave, Dallas, GA 64756",billing@sterling-security.com,VP-7611653,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,33049.24,6.25,2065.58,35114.82,2024-01-27,0
INV-2022-0176,2022-09-29,9,2022-11-13,Net 45,45,USD,V046,Titan Freight Co,"3445 Venture Blvd, New York, NY 44674",billing@titan-freight.com,OY-3319049,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,18091.54,8.25,1492.55,19584.09,2022-11-13,0
INV-2023-0005,2023-01-12,1,2023-02-11,Net 30,30,USD,V036,Delta Partners Corp,"4463 Commerce Blvd, New York, IL 34285",billing@delta-partners.com,YQ-6165679,Healthcare,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",10,38169.04,8.5,3244.37,41413.41,2023-02-11,0
INV-2022-0173,2022-09-23,9,2022-10-23,Net 30,30,USD,V078,Beacon Legal LLC,"1581 Tech Park Way, Houston, TX 91974",billing@beacon-legal.com,RG-8449607,Technology,SmartInvoiceInc,"100 Commerce Blvd, Dallas, TX 75201",2,38054.48,8.0,3044.36,41098.84,2022-11-23,1
